Muchiile din care este alcatuit arborele minim de acoperire sunt:
1.muchia ( 301 , 1 ) = 10
2.muchia ( 227 , 2 ) = 82
3.muchia ( 119 , 3 ) = 15
4.muchia ( 266 , 4 ) = 16
5.muchia ( 300 , 5 ) = 44
6.muchia ( 134 , 6 ) = 22
7.muchia ( 302 , 7 ) = 6
8.muchia ( 345 , 8 ) = 57
9.muchia ( 214 , 9 ) = 52
10.muchia ( 224 , 10 ) = 3
11.muchia ( 296 , 11 ) = 13
12.muchia ( 337 , 12 ) = 27
13.muchia ( 113 , 13 ) = 34
14.muchia ( 142 , 14 ) = 15
15.muchia ( 225 , 15 ) = 18
16.muchia ( 6 , 16 ) = 12
17.muchia ( 19 , 17 ) = 2
18.muchia ( 349 , 18 ) = 46
19.muchia ( 352 , 19 ) = 4
20.muchia ( 316 , 20 ) = 17
21.muchia ( 242 , 21 ) = 21
22.muchia ( 357 , 22 ) = 8
23.muchia ( 381 , 23 ) = 23
24.muchia ( 23 , 24 ) = 16
25.muchia ( 114 , 25 ) = 68
26.muchia ( 20 , 26 ) = 37
27.muchia ( 116 , 27 ) = 10
28.muchia ( 72 , 28 ) = 2
29.muchia ( 84 , 29 ) = 66
30.muchia ( 132 , 30 ) = 32
31.muchia ( 341 , 31 ) = 31
32.muchia ( 269 , 32 ) = 51
33.muchia ( 180 , 33 ) = 7
34.muchia ( 370 , 34 ) = 49
35.muchia ( 156 , 35 ) = 22
36.muchia ( 6 , 36 ) = 10
37.muchia ( 194 , 37 ) = 19
38.muchia ( 164 , 38 ) = 36
39.muchia ( 327 , 39 ) = 24
40.muchia ( 187 , 40 ) = 117
41.muchia ( 123 , 41 ) = 7
42.muchia ( 130 , 42 ) = 29
43.muchia ( 167 , 43 ) = 45
44.muchia ( 375 , 44 ) = 24
45.muchia ( 221 , 45 ) = 10
46.muchia ( 228 , 46 ) = 55
47.muchia ( 354 , 47 ) = 46
48.muchia ( 22 , 48 ) = 45
49.muchia ( 191 , 49 ) = 9
50.muchia ( 288 , 50 ) = 20
51.muchia ( 318 , 51 ) = 35
52.muchia ( 182 , 52 ) = 28
53.muchia ( 291 , 53 ) = 4
54.muchia ( 127 , 54 ) = 114
55.muchia ( 321 , 55 ) = 37
56.muchia ( 81 , 56 ) = 26
57.muchia ( 256 , 57 ) = 2
58.muchia ( 171 , 58 ) = 13
59.muchia ( 271 , 59 ) = 35
60.muchia ( 326 , 60 ) = 88
61.muchia ( 45 , 61 ) = 31
62.muchia ( 296 , 62 ) = 23
63.muchia ( 16 , 63 ) = 24
64.muchia ( 280 , 64 ) = 31
65.muchia ( 315 , 65 ) = 30
66.muchia ( 200 , 66 ) = 36
67.muchia ( 154 , 67 ) = 19
68.muchia ( 208 , 68 ) = 41
69.muchia ( 296 , 69 ) = 27
70.muchia ( 357 , 70 ) = 31
71.muchia ( 394 , 71 ) = 17
72.muchia ( 210 , 72 ) = 31
73.muchia ( 240 , 73 ) = 24
74.muchia ( 225 , 74 ) = 18
75.muchia ( 183 , 75 ) = 18
76.muchia ( 316 , 76 ) = 37
77.muchia ( 59 , 77 ) = 40
78.muchia ( 152 , 78 ) = 7
79.muchia ( 71 , 79 ) = 7
80.muchia ( 0 , 80 ) = 24
81.muchia ( 370 , 81 ) = 9
82.muchia ( 228 , 82 ) = 12
83.muchia ( 0 , 83 ) = 27
84.muchia ( 298 , 84 ) = 50
85.muchia ( 307 , 85 ) = 98
86.muchia ( 22 , 86 ) = 73
87.muchia ( 45 , 87 ) = 75
88.muchia ( 261 , 88 ) = 54
89.muchia ( 355 , 89 ) = 3
90.muchia ( 122 , 90 ) = 6
91.muchia ( 14 , 91 ) = 61
92.muchia ( 395 , 92 ) = 21
93.muchia ( 209 , 93 ) = 2
94.muchia ( 295 , 94 ) = 27
95.muchia ( 250 , 95 ) = 2
96.muchia ( 57 , 96 ) = 43
97.muchia ( 78 , 97 ) = 2
98.muchia ( 272 , 98 ) = 2
99.muchia ( 345 , 99 ) = 8
100.muchia ( 350 , 100 ) = 39
101.muchia ( 287 , 101 ) = 13
102.muchia ( 237 , 102 ) = 17
103.muchia ( 169 , 103 ) = 14
104.muchia ( 344 , 104 ) = 30
105.muchia ( 33 , 105 ) = 2
106.muchia ( 255 , 106 ) = 79
107.muchia ( 196 , 107 ) = 82
108.muchia ( 262 , 108 ) = 5
109.muchia ( 8 , 109 ) = 64
110.muchia ( 340 , 110 ) = 18
111.muchia ( 175 , 111 ) = 29
112.muchia ( 163 , 112 ) = 23
113.muchia ( 72 , 113 ) = 22
114.muchia ( 314 , 114 ) = 18
115.muchia ( 314 , 115 ) = 13
116.muchia ( 48 , 116 ) = 13
117.muchia ( 381 , 117 ) = 35
