Muchiile din care este alcatuit arborele minim de acoperire sunt:
1.muchia  ( 82 , 239 ) = 1
2.muchia  ( 72 , 245 ) = 2
3.muchia  ( 154 , 219 ) = 2
4.muchia  ( 35 , 60 ) = 3
5.muchia  ( 32 , 110 ) = 4
6.muchia  ( 72 , 152 ) = 4
7.muchia  ( 90 , 138 ) = 4
8.muchia  ( 27 , 75 ) = 5
9.muchia  ( 108 , 184 ) = 5
10.muchia  ( 76 , 121 ) = 6
11.muchia  ( 120 , 241 ) = 6
12.muchia  ( 165 , 175 ) = 6
13.muchia  ( 94 , 173 ) = 7
14.muchia  ( 100 , 145 ) = 7
15.muchia  ( 108 , 157 ) = 7
16.muchia  ( 3 , 29 ) = 8
17.muchia  ( 14 , 206 ) = 8
18.muchia  ( 91 , 196 ) = 8
19.muchia  ( 42 , 206 ) = 9
20.muchia  ( 5 , 102 ) = 10
21.muchia  ( 47 , 210 ) = 10
22.muchia  ( 41 , 124 ) = 11
23.muchia  ( 112 , 136 ) = 11
24.muchia  ( 120 , 231 ) = 11
25.muchia  ( 0 , 34 ) = 12
26.muchia  ( 37 , 194 ) = 12
27.muchia  ( 58 , 173 ) = 12
28.muchia  ( 34 , 245 ) = 13
29.muchia  ( 70 , 173 ) = 13
30.muchia  ( 186 , 202 ) = 13
31.muchia  ( 65 , 228 ) = 14
32.muchia  ( 111 , 200 ) = 14
33.muchia  ( 157 , 235 ) = 15
34.muchia  ( 28 , 63 ) = 16
35.muchia  ( 55 , 99 ) = 16
36.muchia  ( 92 , 102 ) = 16
37.muchia  ( 151 , 176 ) = 16
38.muchia  ( 158 , 218 ) = 16
39.muchia  ( 96 , 132 ) = 17
40.muchia  ( 105 , 207 ) = 17
41.muchia  ( 11 , 138 ) = 18
42.muchia  ( 31 , 157 ) = 18
43.muchia  ( 70 , 221 ) = 18
44.muchia  ( 146 , 159 ) = 18
45.muchia  ( 15 , 158 ) = 19
46.muchia  ( 22 , 226 ) = 19
47.muchia  ( 50 , 221 ) = 19
48.muchia  ( 2 , 9 ) = 20
49.muchia  ( 36 , 37 ) = 20
50.muchia  ( 133 , 157 ) = 21
51.muchia  ( 6 , 222 ) = 22
52.muchia  ( 62 , 99 ) = 22
53.muchia  ( 75 , 223 ) = 22
54.muchia  ( 194 , 236 ) = 22
55.muchia  ( 116 , 180 ) = 23
56.muchia  ( 149 , 169 ) = 23
57.muchia  ( 18 , 133 ) = 24
58.muchia  ( 30 , 143 ) = 25
59.muchia  ( 31 , 232 ) = 25
60.muchia  ( 39 , 165 ) = 25
61.muchia  ( 222 , 242 ) = 25
62.muchia  ( 57 , 189 ) = 26
63.muchia  ( 63 , 184 ) = 26
64.muchia  ( 68 , 114 ) = 26
65.muchia  ( 154 , 238 ) = 26
66.muchia  ( 8 , 158 ) = 27
67.muchia  ( 27 , 28 ) = 27
68.muchia  ( 27 , 249 ) = 27
69.muchia  ( 74 , 149 ) = 27
70.muchia  ( 117 , 153 ) = 27
71.muchia  ( 94 , 216 ) = 28
72.muchia  ( 182 , 237 ) = 28
73.muchia  ( 14 , 128 ) = 29
74.muchia  ( 64 , 124 ) = 29
75.muchia  ( 121 , 124 ) = 29
76.muchia  ( 60 , 210 ) = 30
77.muchia  ( 166 , 210 ) = 30
78.muchia  ( 81 , 245 ) = 31
79.muchia  ( 86 , 93 ) = 31
80.muchia  ( 93 , 194 ) = 31
81.muchia  ( 108 , 220 ) = 31
82.muchia  ( 116 , 134 ) = 31
83.muchia  ( 127 , 228 ) = 31
84.muchia  ( 144 , 245 ) = 31
85.muchia  ( 227 , 245 ) = 31
86.muchia  ( 3 , 95 ) = 32
87.muchia  ( 12 , 233 ) = 32
88.muchia  ( 40 , 174 ) = 32
89.muchia  ( 0 , 92 ) = 33
90.muchia  ( 68 , 124 ) = 33
91.muchia  ( 6 , 246 ) = 34
92.muchia  ( 18 , 47 ) = 34
93.muchia  ( 137 , 155 ) = 35
94.muchia  ( 51 , 150 ) = 36
95.muchia  ( 73 , 121 ) = 36
96.muchia  ( 115 , 166 ) = 36
97.muchia  ( 50 , 206 ) = 37
98.muchia  ( 64 , 237 ) = 37
99.muchia  ( 84 , 164 ) = 37
100.muchia  ( 94 , 199 ) = 37
101.muchia  ( 107 , 238 ) = 37
102.muchia  ( 195 , 239 ) = 37
103.muchia  ( 13 , 204 ) = 38
104.muchia  ( 17 , 184 ) = 38
105.muchia  ( 53 , 142 ) = 38
106.muchia  ( 123 , 150 ) = 38
107.muchia  ( 81 , 110 ) = 39
108.muchia  ( 84 , 220 ) = 39
109.muchia  ( 92 , 173 ) = 39
110.muchia  ( 115 , 171 ) = 39
111.muchia  ( 137 , 171 ) = 39
112.muchia  ( 145 , 207 ) = 39
113.muchia  ( 205 , 207 ) = 40
114.muchia  ( 63 , 119 ) = 42
115.muchia  ( 198 , 243 ) = 42
116.muchia  ( 51 , 133 ) = 43
117.muchia  ( 52 , 80 ) = 43
118.muchia  ( 74 , 112 ) = 43
119.muchia  ( 37 , 181 ) = 44
120.muchia  ( 4 , 127 ) = 45
121.muchia  ( 28 , 237 ) = 45
122.muchia  ( 70 , 97 ) = 45
123.muchia  ( 87 , 124 ) = 45
124.muchia  ( 119 , 128 ) = 45
125.muchia  ( 166 , 187 ) = 45
126.muchia  ( 5 , 170 ) = 46
127.muchia  ( 43 , 220 ) = 46
128.muchia  ( 52 , 190 ) = 46
129.muchia  ( 141 , 160 ) = 46
130.muchia  ( 58 , 71 ) = 47
131.muchia  ( 162 , 172 ) = 47
132.muchia  ( 130 , 174 ) = 48
133.muchia  ( 209 , 247 ) = 48
134.muchia  ( 59 , 203 ) = 49
135.muchia  ( 134 , 152 ) = 49
